"key","ru","en","fr","ja","ge","sp","po","ch"
"VIDEO_KEY","ВИДЕО","VIDEO","VIDÉO","ビデオ","das Video","VÍDEO","Vídeo","短片"
"FULL_SCREEN_KEY","ПОЛНЫЙ ЭКРАН","FULL SCREEN","PLEIN ÉCRAN","フルスクリーン","VOLLBILD","PANTALLA COMPLETA","ECRÃ COMPLETO","全屏"
"SCREEN_RESOLUTION_KEY","РАЗРЕШЕНИЕ ЭКРАНА","SCREEN RESOLUTION","RÉSOLUTION D'ÉCRAN","画面解像度","BILDSCHIRMAUFLÖSUNG","RESOLUCIÓN DE PANTALLA","RESOLUÇÃO DA TELA","屏幕分辨率"
"VERT_SYNCING_KEY","ВЕРТ. СИНХРОНИЗАЦИЯ","VERT. SYNCING","WERTH. SYNCHRONISATION","垂直同期","VERTIKALE SYNCHRONISATION","SINCRONIZACIÓN VERTICAL","SINCRONIZAÇÃO VERTICAL","垂直同步"

"LANGUAGE_KEY","ЯЗЫК","LANGUAGE","LANGUE","言語","Sprache","IDIOMA","IDIOMA","语言"
"LANGUAGE_CHANGE_KEY","СМЕНА ЯЗЫКА","LANGUAGE CHANGE","CHANGER DE LANGUE","言語変更","SPRACHE ÄNDERN","CAMBIO DE IDIOMA","MUDANÇA DE IDIOMA","语言变化"
"LANGUAGE_SELECTION_KEY","ВЫБОР ЯЗЫКА","LANGUAGE SELECTION","CHOISIR LA LANGUE","言語選択","SPRACHAUSWAHL","SELECCIÓN DE IDIOMA","SELECIONAR IDIOMA","语言选择"

"SAVES_KEY","СОХРАНЕНИЯ","SAVES","CONSERVATIONS","セーブ","ERHALTUNGEN","CONSERVACIÓN","CONSERVAÇÃO","储蓄"
"DELETE_SAVES_KEY","УДАЛИТЬ СОХРАНЕНИЯ","DELETE SAVES","SUPPRIMER ENREGISTRER","保存の削除","SPEICHERN LÖSCHEN","ELIMINAR GUARDAR","APAGAR AS GRAVAÇÕES","删除保存"

"CONTINUE_KEY","ПРОДОЛЖИТЬ","CONTINUE","CONTINUER","履歴書","fortfahren","CONTINUAR","CONTINUAR","简历"
"RESTART_KEY","ПЕРЕЗАПУСК","RESTART","REDÉMARRAGE","再起動","NEUSTART","REINICIAR","Reiniciar","重新启动"
"EXIT_THE_MENU_KEY","ВЫЙТИ В МЕНЮ","EXIT THE MENU","QUITTER LE MENU","メニューを終了します","MENÜ VERLASSEN","SALIR EN EL MENÚ","IR PARA O MENU","退出菜单"

"LEADERBOARD_KEY","ТАБЛИЦА ЛИДЕРОВ","LEADERBOARD","CLASSEMENT","リーダーボード","BESTENLISTE","TABLA DE CLASIFICACIÓN","TABELA DE LÍDERES","排行榜"

"LEVEL_COMPLETED_KEY","УРОВЕНЬ ЗАВЕРШЕН","LEVEL COMPLETED","NIVEAU TERMINÉ","レベル完了","LEVEL ABGESCHLOSSEN","NIVEL COMPLETADO","NÍVEL CONCLUÍDO","水平已完成"
"PASSAGE_TIME_KEY","ВРЕМЯ ПРОХОЖДЕНИЯ","PASSAGE TIME","TEMPS DE PASSAGE","通過時間","DURCHLAUFZEIT","TIEMPO DE PASO","TEMPO DE PASSAGEM","通行时间"
"THE_BEST_TIME_KEY","ЛУЧШЕЕ ВРЕМЯ","THE BEST TIME","MEILLEUR TEMPS","ザ-ベスト-タイム","BESTZEIT","EL MEJOR MOMENTO","MELHOR TEMPO","最佳时机"
"NEXT_LEVEL_KEY","СЛЕДУЮЩИЙ УРОВЕНЬ","NEXT LEVEL","NIVEAU SUIVANT","次のレベル","NÄCHSTE STUFE","SIGUIENTE NIVEL","PRÓXIMO NÍVEL","下一阶段"

"THANK_YOU_FOR_PLAYING_KEY","СПАСИБО ЗА ИГРУ!","THANKS FOR THE GAME!","MERCI DE JOUER!","遊んでくれてありがとう！","DANKE FÜRS SPIELEN!","GRACIAS POR JUGAR!","OBRIGADO POR JOGAR!","谢谢你的演奏！"

"TUTORIAL_JUMP_KEY","СИЛА ПРЫЖКА ЗАВИСИТ ОТ ПРОДОЛЖИТЕЛЬНОСТИ НАЖАТИЯ КНОПКИ.","THE STRENGTH OF THE JUMP DEPENDS ON THE DURATION OF PRESSING THE BUTTON.","LA FORCE DU SAUT DÉPEND DE LA DURÉE DE LA PRESSION SUR LE BOUTON.","ジャンプの強さは、ボタンを押す時間によって異なります。","DIE KRAFT DES SPRUNGES HÄNGT VON DER DAUER DES DRÜCKENS VON TASTE AB.","LA FUERZA DEL SALTO DEPENDE DE LA DURACIÓN DE PRESIONAR EL BOTÓN.","A FORÇA DO SALTO DEPENDE DO TEMPO QUE O BOTÃO É PRESSIONADO.","跳躍的強度取決於按下键的持續時間。"
"TUTORIAL_TAKE_KEY_KEY","ВЗЯТЬ КЛЮЧ","TAKE THE KEY","PRENDRE LA CLÉ","鍵を取る","DEN SCHLÜSSEL NEHMEN","TOMAR LA LLAVE","PEGUE A CHAVE","拿钥匙"
"TUTORIAL_EXIT_KEY","ИДИТЕ К ВЫХОДУ","GET TO THE EXIT","ALLEZ À LA SORTIE","出口に行く","GEH ZUM AUSGANG","VE A LA SALIDA.","VÃO PARA A SAÍDA.","到出口去"

"DIALOG_1_DEGROID_LEVEL_1_KEY","ГДЕ Я? ЧТО ПРОИСХОДИТ?","WHERE AM I? WHAT'S HAPPENING?","OÙ JE SUIS? CE QUI SE PASSE?","俺はどこだ? どうしたの?","wo bin ich? Was ist los?","¿DÓNDE ESTOY? ¿Qué pasa?","ONDE ESTOU? O QUE SE PASSA?","我在哪儿？ 发生什么事了？"
"DIALOG_2_DOCTOR_LEVEL_1_KEY","ПРИВЕТСТВУЮ ТЕБЯ, МОЙ МАЛЕНЬКИЙ ЭКСПЕРИМЕНТ!","GREETINGS, MY LITTLE EXPERIMENT!","BONJOUR, MA PETITE EXPÉRIENCE!","ご挨拶、私の小さな実験！","HALLO, MEIN KLEINES EXPERIMENT!","¡SALUDOS, MI PEQUEÑO EXPERIMENTO!","SAUDAÇÕES, MINHA PEQUENA EXPERIÊNCIA!","问候，我的小实验！"
"DIALOG_3_DEGROID_LEVEL_1_KEY","ЧТО ЗА ГОЛОС? КТО ТЫ И ЧТО ТЫ СО МНОЙ СДЕЛАЛ?","WHAT IS THE VOICE? WHO ARE YOU AND WHAT HAVE YOU DONE TO ME?","QUELLE VOIX? QUI ES-TU ET QUE M'AS-TU FAIT?","どのような声ですか？ あなたは誰ですか、あなたは私に何をしましたか？","WAS FÜR EINE STIMME? WER BIST DU UND WAS HAST DU MIR ANGETAN?","¿QUÉ VOZ? ¿QUIÉN ERES Y QUÉ ME HAS HECHO?","QUE VOZ? QUEM ÉS TU E O QUE ME FIZESTE?","什么样的声音？ 你是谁，你对我做了什么？"
"DIALOG_4_DOCTOR_LEVEL_1_KEY","Я БЕЗУМНЫЙ ДОКТОР, А ТЫ МОЙ НОВЫЙ ОБЪЕКТ ЭКСПЕРИМЕНТА!","I'M A MAD DOCTOR, AND YOU'RE MY NEW EXPERIMENTAL SUBJECT!","JE SUIS UN DOCTEUR FOU, ET TU ES MON NOUVEL OBJET D'EXPÉRIENCE!","私は狂った医者であり、あなたは私の新しい実験対象です！","ICH BIN EIN VERRÜCKTER ARZT UND DU BIST MEIN NEUES VERSUCHSOBJEKT!","¡SOY UN DOCTOR LOCO Y TÚ ERES MI NUEVO OBJETO DE EXPERIMENTACIÓN!","EU SOU UM MÉDICO LOUCO E TU ÉS O MEU NOVO ALVO!","我是个疯狂的医生，而你是我的新实验对象！"
"DIALOG_5_DEGROID_LEVEL_1_KEY","КАКОГО ЭКСПЕРИМЕНТА? КАК МНЕ ОТ СЮДА ВЫБРАТЬСЯ!","WHAT EXPERIMENT? HOW DO I GET OUT OF HERE!","QUELLE EXPÉRIENCE? COMMENT PUIS-JE SORTIR D'ICI!","どのような実験ですか？ どうすればここから出ることができますか！","WELCHES EXPERIMENT? WIE KOMME ICH HIER RAUS!","¿QUÉ EXPERIMENTO? ¡CÓMO PUEDO SALIR DE AQUÍ!","QUE EXPERIÊNCIA? COMO POSSO SAIR DAQUI?","什么实验？ 我怎么离开这里！"
"DIALOG_6_DOCTOR_LEVEL_1_KEY","ХА-ХА-ХА! А ТЫ ДЕРЗКИЙ! МНЕ НРАВЯТСЯ ТАКИЕ… Я ДАМ ТЕБЕ ШАНС.","HA-HA-HA! YOU'RE BOLD! I LIKE THAT... I'LL GIVE YOU A CHANCE.","HA-HA-HA! T'ES AUDACIEUX! J'AIME ÇA... JE VAIS TE DONNER UNE CHANCE.","ハッハッハ! そして、あなたは生意気です！ 私はこれが好きです...私はあなたにチャンスを与えるでしょう。","hahaha! UND DU BIST FRECH! ICH MAG SOLCHE, ICH GEBE DIR EINE CHANCE.","¡JA, JA, JA! ¡Y TÚ ERES ARROGANTE! ME GUSTAN ESOS ... TE DARÉ UNA OPORTUNIDAD.","HA-HA-HA! ÉS UM ATREVIDO! EU GOSTO DESTES... VOU DAR-TE UMA OPORTUNIDADE.","哈哈哈！ 你真厚脸皮！ 我喜欢这些...我给你一个机会。"
"DIALOG_7_DOCTOR_LEVEL_1_KEY","НО Я ОБЕЩАЮ, ЧТО ТЫ НЕ БУДЕШЬ СКУЧАТЬ","BUT I PROMISE YOU WON'T BE BORED.","MAIS JE VOUS PROMETS QUE VOUS NE VOUS ENNUIEREZ PAS","しかし、私はあなたが退屈しないことを約束します。","ABER ICH VERSPRECHE DIR, DASS DU DICH NICHT LANGWEILEN WIRST","PERO TE PROMETO QUE NO TE ABURRIRÁS","MAS PROMETO QUE NÃO SENTIRÁS A TUA FALTA.","但我保证你不会觉得无聊。"
"DIALOG_8_DOCTOR_LEVEL_1_KEY","У МЕНЯ ЕСТЬ МНОГО ИГРУШЕК, КОТОРЫЕ Я ХОЧУ ТЕБЕ ПОКАЗАТЬ.","I HAVE MANY TOYS THAT I WANT TO SHOW YOU.","J'AI BEAUCOUP DE JOUETS QUE JE VEUX TE MONTRER.","私はあなたに見せたいおもちゃをたくさん持っています。","ICH HABE VIELE SPIELSACHEN, DIE ICH DIR ZEIGEN MÖCHTE.","TENGO MUCHOS JUGUETES QUE QUIERO MOSTRARTE.","TENHO MUITOS BRINQUEDOS QUE TE QUERO MOSTRAR.","我有很多玩具想给你看。"
"DIALOG_9_DOCTOR_LEVEL_1_KEY","ВСЕ ЧТО ОТ ТЕБЯ ТРЕБУЕТСЯ – ЭТО ПРОЙТИ МОЮ ПОЛОСУ ПРЕПЯТСТВИЙ","ALL YOU NEED TO DO IS PASS MY OBSTACLE COURSE","TOUT CE QUE TU DOIS FAIRE, C'EST PASSER MON PARCOURS DU COMBATTANT.","あなたがしなければならないのは、私の障害物コースを渡すことです","ALLES, WAS DU BRAUCHST, IST, MEINEN HINDERNISPARCOURS ZU ABSOLVIEREN","TODO LO QUE TIENES QUE HACER ES PASAR MI CARRERA DE OBSTÁCULOS","TUDO O QUE TENS DE FAZER É PASSAR PELA MINHA PISTA DE OBSTÁCULOS.","你所要做的就是通过我的障碍课程"
"DIALOG_10_DOCTOR_LEVEL_1_KEY","И, МОЖЕТ БЫТЬ, МЫ ДАЖЕ УВИДИМСЯ ЛИЦОМ К ЛИЦУ!","AND MAYBE WE'LL EVEN SEE EACH OTHER FACE TO FACE!","ET PEUT-ÊTRE QUE NOUS NOUS REVERRONS MÊME FACE À FACE!","そして、多分私たちはお互いに顔を合わせて見るでしょう！","UND VIELLEICHT SEHEN WIR UNS SOGAR VON ANGESICHT ZU ANGESICHT!","¡Y TAL VEZ INCLUSO NOS VEAMOS CARA A CARA!","E TALVEZ ATÉ NOS VEJAMOS CARA A CARA!","也许我们甚至可以面对面地见面！"

"DIALOG_1_DEGROID_LEVEL_3_KEY","ПОЧЕМУ Я КАЖДЫЙ РАЗ ВОСКРЕШАЮСЬ ПОСЛЕ СМЕРТИ?","WHY DO I ALWAYS RESURRECT AFTER DEATH?","POURQUOI EST-CE QUE JE RESSUSCITE CHAQUE FOIS APRÈS LA MORT?","なぜ私は毎回死の後に復活するのですか？","WARUM WERDE ICH JEDES MAL NACH DEM TOD WIEDER AUFERSTEHEN?","¿POR QUÉ RESUCITO CADA VEZ QUE MUERO?","POR QUE EU RESSUSCITO SEMPRE APÓS A MORTE?","为什么我每次死后都会复活？"
"DIALOG_2_DEGROID_LEVEL_3_KEY","Я НЕ ХОЧУ БЫТЬ ЗДЕСЬ ВЕЧНО.","I DON'T WANT TO BE HERE FOREVER.","JE NE VEUX PAS ÊTRE ICI POUR TOUJOURS.","私は永遠にここにいたくない。","ICH WILL NICHT EWIG HIER SEIN.","NO QUIERO ESTAR AQUÍ PARA SIEMPRE.","NÃO QUERO FICAR AQUI PARA SEMPRE.","我不想永远呆在这里。"
"DIALOG_3_DOCTOR_LEVEL_3_KEY","ХА-ХА-ХА!","HA-HA-HA!","HA-HA-HA!","ハッハッハ!","hahaha!","¡JA, JA, JA!","HA-HA-HA!","哈哈哈！"
"DIALOG_4_DOCTOR_LEVEL_3_KEY","АХ КАКОЙ ЛЮБОЗНАТЕЛЬНЫЙ!","OH, HOW INQUISITIVE!","QUEL CURIEUX!","ああ、どのように好奇心旺盛！","ACH WAS FÜR EIN NEUGIERIGER!","¡QUÉ CURIOSO!","QUE CURIOSO!","哦，多好奇啊！"
"DIALOG_5_DOCTOR_LEVEL_3_KEY","ПРОХОДЫ, МЕЖДУ УРОВНЯМИ, СОЗДАЮТ ТВОЮ ТОЧНУЮ КОПИЮ СРАЗУ ЖЕ ПОСЛЕ ТВОЕЙ СМЕРТИ!","THE CORRIDORS, BETWEEN LEVELS, CREATE YOUR EXACT COPY IMMEDIATELY AFTER YOUR DEATH!","LES PASSAGES, ENTRE LES NIVEAUX, CRÉENT VOTRE COPIE EXACTE IMMÉDIATEMENT APRÈS VOTRE MORT!","レベル間の通路は、すぐにあなたの死の後にあなたの正確なコピーを作成します！","PASSAGEN, ZWISCHEN DEN EBENEN, ERSTELLEN DEINE EXAKTE KOPIE SOFORT NACH DEINEM TOD!","¡LOS PASES, ENTRE LOS NIVELES, CREAN TU RÉPLICA EXACTA INMEDIATAMENTE DESPUÉS DE TU MUERTE!","AS PASSAGENS, ENTRE OS NÍVEIS, CRIAM UMA CÓPIA EXATA DE VOCÊ IMEDIATAMENTE APÓS A SUA MORTE!","水平之间的通道创建您的精确副本后，立即你的死亡！"
"DIALOG_6_DOCTOR_LEVEL_3_KEY","А САМОЕ ГЛАВНОЕ ОНИ СОХРАНЯЮТ ТВОЮ ПАМЯТЬ!","AND MOST IMPORTANTLY, THEY PRESERVE YOUR MEMORY!","ET SURTOUT, ILS GARDENT VOTRE MÉMOIRE!","そして最も重要なことに、彼らはあなたの記憶を保存します！","UND VOR ALLEM BEHALTEN SIE DEIN GEDÄCHTNIS!","¡Y LO MÁS IMPORTANTE, CONSERVAN TU MEMORIA!","E O MAIS IMPORTANTE, ELES PRESERVAM SUA MEMÓRIA!","而最重要的是，他们保存你的记忆！"
"DIALOG_7_DOCTOR_LEVEL_3_KEY","ТЫ МОЖЕШЬ УМЕРЕТЬ СКОЛЬКО УГОДНО РАЗ, НО Я ВСЕГДА ВЕРНУ ТЕБЯ ОБРАТНО К ЖИЗНИ.","YOU CAN DIE AS MANY TIMES AS YOU WANT, BUT I WILL ALWAYS BRING YOU BACK TO LIFE.","TU PEUX MOURIR AUTANT DE FOIS QUE TU VEUX, MAIS JE TE RAMÈNERAI TOUJOURS À LA VIE.","あなたは何度でも死ぬことができますが、私はいつもあなたを生き返らせます。","DU KANNST SO OFT DU WILLST STERBEN, ABER ICH WERDE DICH IMMER WIEDER ZUM LEBEN ERWECKEN.","PUEDES MORIR TANTAS VECES COMO QUIERAS, PERO SIEMPRE TE DEVOLVERÉ A LA VIDA.","PODES MORRER QUANTAS VEZES QUISERES, MAS VOU SEMPRE TRAZER-TE DE VOLTA À VIDA.","你想死多少次就死多少次，但我总会让你起死回生的。"
"DIALOG_8_DOCTOR_LEVEL_3_KEY","И ТОГДА ТЫ СНОВА БУДЕШЬ ИГРАТЬ В МОЮ ИГРУ. ПОКА НЕ СОЙДЕШЬ С УМА КОНЕЧНО ЖЕ.","AND THEN YOU WILL PLAY MY GAME AGAIN. UNTIL YOU GO CRAZY, OF COURSE.","ET PUIS TU JOUERAS À NOUVEAU À MON JEU. JUSQU'À CE QUE VOUS DEVENIEZ FOU, BIEN SÛR.","そして、あなたは再び私のゲームをプレイすることになります。 もちろん、あなたが夢中になるまで。","UND DANN WIRST DU MEIN SPIEL WIEDER SPIELEN. BIS DU NATÜRLICH VERRÜCKT WIRST.","Y LUEGO VOLVERÁS A JUGAR MI JUEGO. HASTA QUE TE VUELVAS LOCO, POR SUPUESTO.","E DEPOIS VOLTAS A JOGAR O MEU JOGO. A NÃO SER QUE ENLOUQUEÇAS, CLARO.","然后你又要玩我的游戏了。 当然，直到你发疯。"
"DIALOG_9_DOCTOR_LEVEL_3_KEY","ХА-ХА-ХА! ВЕСЕЛО, ПРАВДА?","HA-HA-HA! FUN, RIGHT?","HA-HA-HA! C'EST MARRANT, NON?","ハッハッハ! 楽しいですね。","hahaha! MACHT SPAß, ODER?","¡JA, JA, JA! DIVERTIDO, ¿VERDAD?","HA-HA-HA!","哈哈哈！ 很有趣，不是吗？"
"DIALOG_10_DEGROID_LEVEL_3_KEY","'ТЯЖЕЛО ДЫШИТ'","'HEAVY BREATHING'","'RESPIRATION LOURDE'","「息を強くする」","'ATMET SCHWER'","'JADEA'",""RESPIRAÇÃO PESADA"","'呼吸困难'"
"DIALOG_11_DEGROID_LEVEL_3_KEY","ЭТО БУДЕТ НЕЛЕГКО.","THIS WILL NOT BE EASY.","CE NE SERA PAS FACILE.","それは簡単ではありません。","ES WIRD NICHT EINFACH SEIN.","NO SERÁ FÁCIL.","NÃO VAI SER FÁCIL.","这可不容易。"
"DIALOG_12_DEGROID_LEVEL_3_KEY","НО Я ДОЛЖЕН НАЙТИ ВЫХОД ИЗ ЭТОГО БЕЗУМИЯ.","BUT I MUST FIND A WAY OUT OF THIS MADNESS.","MAIS JE DOIS TROUVER UN MOYEN DE SORTIR DE CETTE FOLIE.","しかし、私はこの狂気から抜け出す方法を見つけなければなりません。","ABER ICH MUSS EINEN AUSWEG AUS DIESEM WAHNSINN FINDEN.","PERO TENGO QUE ENCONTRAR UNA MANERA DE SALIR DE ESTA LOCURA","MAS TENHO DE ENCONTRAR UMA SAÍDA PARA ESTA LOUCURA.","但我必须找到摆脱这种疯狂的方法。"

"DIALOG_1_DEGROID_LEVEL_5_KEY","ЧТО ЭТО ЗА СЛИЗЬ? И ПОЧЕМУ ОНА ТАК АГРЕССИВНА?","WHAT IS THIS SLIME? AND WHY IS SHE SO AGGRESSIVE?","C'EST QUOI CETTE BOUE? ET POURQUOI EST-ELLE SI AGRESSIVE?","このスライムは何ですか？ そして、なぜ彼女はとても攻撃的なのですか？","WAS IST DIESER SCHLEIM? UND WARUM IST SIE SO AGGRESSIV?","¿QUÉ ES ESE LIMO? ¿Y POR QUÉ ES TAN AGRESIVA?","O QUE É ESSE MUCO? PORQUE É QUE ELA É TÃO AGRESSIVA?","这是什么粘液？ 她为什么这么咄咄逼人？"
"DIALOG_2_DOCTOR_LEVEL_5_KEY","О, ЭТО МОЯ ПОСЛЕДНЯЯ НАХОДКА.","OH, THIS IS MY LATEST FIND.","C'EST MA DERNIÈRE DÉCOUVERTE.","ああ、これは私の最新の発見です。","OH, DAS IST MEIN LETZTER FUND.","OH, ESTE ES MI ÚLTIMO HALLAZGO.","É A MINHA ÚLTIMA DESCOBERTA.","这是我的最新发现。"
"DIALOG_3_DOCTOR_LEVEL_5_KEY","Я ИСПОЛЬЗОВАЛ МУТАГЕН, ЧТОБЫ СДЕЛАТЬ ЕЕ БОЛЕЕ ЖИВУЧЕЙ И АГРЕССИВНОЙ.","I USED A MUTAGEN TO MAKE HER MORE RESILIENT AND AGGRESSIVE.","J'AI UTILISÉ MUTAGÈNE POUR LA RENDRE PLUS TENACE ET AGRESSIVE.","私は彼女をより弾力性と攻撃的にするために変異原を使用しました。","ICH HABE EIN MUTAGEN BENUTZT, UM SIE ZÄHFLÜSSIGER UND AGGRESSIVER ZU MACHEN.","USÉ MUTAGEN PARA HACERLA MÁS RESISTENTE Y AGRESIVA.","USEI O MUTAGÉNICO PARA TORNÁ-LA MAIS TENAZ E AGRESSIVA.","我用了诱变剂让她更有弹性，更有攻击性。"
"DIALOG_4_DOCTOR_LEVEL_5_KEY","НО НЕ БЕСПОКОЙСЯ, МОЙ ПОДОПЫТНЫЙ КРЫСЕНОК, ТЫ В БЕЗОПАСНОСТИ...","BUT DON'T WORRY, MY TEST RAT, YOU'RE SAFE...","MAIS NE T'INQUIÈTE PAS, MON COBAYE, TU ES EN SÉCURITÉ...","しかし、心配しないで、私のテストラット、あなたは安全です。..","ABER KEINE SORGE, MEIN VERSUCHSKANINCHEN, DU BIST IN SICHERHEIT...","PERO NO TE PREOCUPES, MI RATA DE PRUEBA, ESTÁS A SALVO...","MAS NÃO TE PREOCUPES, MINHA COBAIA, ESTÁS A SALVO...","但别担心，我的测试鼠，你很安全。.."
"DIALOG_5_DOCTOR_LEVEL_5_KEY","ПОКА ОНА НЕ ДОСТАНЕТ ТЕБЯ СВОИМИ ЩУПАЛЬЦАМИ, КОНЕЧНО.","UNTIL SHE GETS YOU WITH HER TENTACLES, OF COURSE.","JUSQU'À CE QU'ELLE TE TROUVE AVEC SES TENTACULES, BIEN SÛR.","彼女はもちろん、彼女の触手であなたを取得するまで。","BIS SIE DICH NATÜRLICH MIT IHREN TENTAKELN BEKOMMT.","HASTA QUE ELLA TE ATRAPE CON SUS TENTÁCULOS, POR SUPUESTO.","ATÉ ELA TE APANHAR COM OS TENTÁCULOS, CLARO.","当然，直到她用她的触手抓住你。"
